Date,Region (CCAA),Positive total (Total casos),IA (casos/100.000 habitantes),Hospitalized (hospitalización),ICU (Ingreso en UCI),Dead (Fallecidos),Cured (Curados),New positive (Nuevos),Source
2020-03-29,Aragón,1858,129.69,835,124,93,8,266,
2020-03-29,Asturias,1088,92.98,466,57,41,76,84,
2020-03-29,Baleares,958,79.69,345,71,29,82,96,
2020-03-29,Canarias,1125,47.18,425,78,39,30,100,
2020-03-29,Cantabria,1023,167.28,449,40,26,25,86,
2020-03-29,Castilla La Mancha,5246,238.33,3018,299,539,236,734,
2020-03-29,Castilla y León,5414,213.46,2408,278,380,752,623,
2020-03-29,Cataluña,15026,186.46,10688,1391,1226,3455,763,
2020-03-29,Ceuta,21,23.59,2,2,1,0,4,
2020-03-29,C. Valenciana,4784,87.43,1874,309,267,161,750,
2020-03-29,Extremadura,1456,127.47,313,41,100,51,62,
2020-03-29,Galicia,3139,109.06,1043,123,60,153,367,
2020-03-29,Madrid,22677,287.14,14454,1429,3082,7491,1157,
2020-03-29,Melilla,48,46.25,24,2,1,0,3,
2020-03-29,Murcia,872,53.62,260,58,20,16,70,
2020-03-29,Navarra,2011,279.42,896,90,84,125,182,
2020-03-29,País Vasco,5740,231.45,3106,271,265,1503,604,
2020-03-29,La Rioja,1629,419.51,497,43,68,397,193,
2020-03-29,SPAIN,78797,151.04,43397,4907,6528,14709,6549,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_59_COVID-19.pdf
2020-03-30,Andalucía,5405,57.65,2671,216,236,155,723,
2020-03-30,Aragón,2078,144.32,1094,156,106,174,220,
2020-03-30,Asturias,1158,95.91,479,60,49,78,70,
2020-03-30,Baleares,1000,80.65,353,80,37,100,42,
2020-03-30,Canarias,1204,50.39,444,84,40,32,79,
2020-03-30,Cantabria,1100,179.32,481,46,27,24,77,
2020-03-30,Castilla La Mancha,5858,260.27,3134,302,622,252,612,
2020-03-30,Castilla y León,5801,227.83,2540,307,442,871,387,
2020-03-30,Cataluña,16157,198.74,11769,1512,1410,4125,1131,
2020-03-30,Ceuta,25,28.31,2,2,1,0,4,
2020-03-30,C. Valenciana,5110,93.95,2042,336,310,185,326,
2020-03-30,Extremadura,1560,135.71,353,43,106,60,104,
2020-03-30,Galicia,3723,128.84,1147,134,66,168,584,
2020-03-30,Madrid,24090,299.02,14917,1460,3392,8301,1413,
2020-03-30,Melilla,51,49.72,27,3,1,0,3,
2020-03-30,Murcia,939,57.7,265,58,25,17,67,
2020-03-30,Navarra,2146,286.14,955,96,102,161,135,
2020-03-30,País Vasco,6057,245.81,3427,293,297,1646,317,
2020-03-30,La Rioja,1733,448.55,517,43,71,431,104,
2020-03-30,SPAIN,85195,161.62,46617,5231,7340,16780,6398,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_60_COVID-19.pdf
2020-03-31,Andalucía,5818,61.03,2867,235,248,160,413,
2020-03-31,Aragón,2272,156.52,1176,165,138,204,194,
2020-03-31,Asturias,1236,101.97,529,65,55,90,78,
2020-03-31,Baleares,1069,85,399,85,42,111,69,
2020-03-31,Canarias,1262,51.73,483,94,55,57,58,
2020-03-31,Cantabria,1171,191.54,522,50,37,35,71,
2020-03-31,Castilla La Mancha,6424,288.12,3225,344,708,296,566,
2020-03-31,Castilla y León,6211,240.88,2601,325,516,1028,410,
2020-03-31,Cataluña,18773,226.43,12974,1652,1672,4966,2616,
2020-03-31,Ceuta,34,38.93,3,3,1,0,9,
2020-03-31,C. Valenciana,5508,99.27,2189,356,339,200,398,
2020-03-31,Extremadura,1628,138.15,371,51,133,91,68,
2020-03-31,Galicia,4039,138.8,1250,149,84,187,316,
2020-03-31,Madrid,27509,339.74,15140,1514,3603,9330,3419,
2020-03-31,Melilla,54,42.78,27,3,1,0,3,
2020-03-31,Murcia,974,58.71,283,59,34,20,35,
2020-03-31,Navarra,2305,304.49,1035,99,113,192,159,
2020-03-31,País Vasco,6320,251.61,3594,307,325,1796,263,
2020-03-31,La Rioja,1810,459.28,575,51,85,496,77,
2020-03-31,SPAIN,94417,177.01,49243,5607,8189,19259,9222,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_61_COVID-19.pdf
